nomformation;nb_chars;coefficient_au_sud;departement_code;proportion_candidates;proportion_bien_tb
BTS - Agricole, Institut Agricole Secondaire Jean Errecart;14;0.8966715477767707;64;0.39759036144578313253;0.3
BTS - Agricole, Institut Agricole Secondaire Jean Errecart;14;0.8966715477767707;64;0.50980392156862745098;0.4444444444444444
BTS - Agricole, Institut Agricole Secondaire Jean Errecart;14;0.8966715477767707;64;0.59915611814345991561;0.14285714285714285
BTS - Agricole, Institut Agricole Secondaire Jean Errecart;14;0.8966715477767707;64;0.61111111111111111111;0
BTS - Agricole, Institut Charles Quentin;14;0.19937010436278327;60;0.17514124293785310734;0.2
BTS - Agricole, Institut Charles Quentin;14;0.19937010436278327;60;0.33173076923076923077;0.2857142857142857
BTS - Agricole, Institut d'Anchin;14;0.08315319712711867;59;0.44444444444444444444;0.25
BTS - Agricole, Institut d'Hazebrouck;14;0.03666643423285219;59;0.26666666666666666667;0.23529411764705882
BTS - Agricole, Institut Saint Eloi;14;0.1063965785742511;62;0.06666666666666666667;0.25
BTS - Agricole, Institut Saint Eloi;14;0.1063965785742511;62;0.25498007968127490040;0.2222222222222222
BTS - Agricole, IREO de la Plaine des Palmistes;14;8.369418683030002;974;0.00000000000000000000;0
BTS - Agricole, IREO de Lesneven;14;0.2923436301513146;29;0.32038834951456310680;0.13043478260869565
BTS - Agricole, ISETA de Poisy;14;0.5945075889640427;74;0.13750000000000000000;0.2727272727272727
BTS - Agricole, ISETA de Poisy;14;0.5945075889640427;74;0.23776223776223776224;0.2692307692307692
BTS - Agricole, ISETA de Poisy;14;0.5945075889640427;74;0.38260869565217391304;0.23529411764705882
BTS - Agricole, ISNAB;14;0.7339678776468397;33;0.25142857142857142857;0.07142857142857142
BTS - Agricole, ISNAB;14;0.7339678776468397;33;0.40566037735849056604;0.15384615384615385
BTS - Agricole, ISNAB;14;0.7339678776468397;33;0.45544554455445544554;0
BTS - Agricole, ISNAB;14;0.7339678776468397;33;0.50467289719626168224;0
BTS - Agricole, ISVT;14;0.6991028054761406;43;0.30894308943089430894;0
BTS - Agricole, ISVT;14;0.6991028054761406;43;0.68224299065420560748;0.29411764705882354
BTS - Agricole, LEAP AGRICULTURE ET TERRITOIRE IS4A;14;0.280721939427748;54;0.30769230769230769231;0
BTS - Agricole, LEAP AGRICULTURE ET TERRITOIRE IS4A;14;0.280721939427748;54;0.40000000000000000000;0
BTS - Agricole, LEAP A. St Exupéry Rennes;14;0.33883039304558027;35;0.29775280898876404494;0.14285714285714285
BTS - Agricole, LEAP A. St Exupéry Rennes;14;0.33883039304558027;35;0.38679245283018867925;0
BTS - Agricole, LEAP A. St Exupéry Rennes;14;0.33883039304558027;35;0.40350877192982456140;0
BTS - Agricole, LEAP A. St Exupéry Rennes;14;0.33883039304558027;35;0.40935672514619883041;0.3333333333333333
BTS - Agricole, LEAP Claude Mercier;14;0.582885898240476;3;0.22727272727272727273;0
BTS - Agricole, L.E.A.P. La Cadène;14;0.8734281663296375;31;0.35766423357664233577;0.5
BTS - Agricole, LEAP St-Joseph;14;0.652616042581875;63;0.39344262295081967213;0
BTS - Agricole, L.E.G.T.A. Albi - Fonlabour;14;0.8269414034353718;81;0.30407523510971786834;0.1
BTS - Agricole, L.E.G.T.A. Albi - Fonlabour;14;0.8269414034353718;81;0.32899628252788104089;0.25
BTS - Agricole, L.E.G.T.A. Albi - Fonlabour;14;0.8269414034353718;81;0.33510638297872340426;0.10344827586206896
BTS - Agricole, L.E.G.T.A. Beaulieu-Lavacant;14;0.8618064756060708;32;0.33941605839416058394;0.16666666666666666
BTS - Agricole, L.E.G.T.A. Beaulieu-Lavacant;14;0.8618064756060708;32;0.49044585987261146497;0
BTS - Agricole, L.E.G.T.A. Beaulieu-Lavacant;14;0.8618064756060708;32;0.55601659751037344398;0.14285714285714285
